,kanji,hiragana/katakana,persian,english
1,～にざっと目を通す,～にざっとめをとうす,نگاهی گذرا انداختن به ,look over
2,～に関して,～にかんして,راجع به ....,in regards to
3,～に向かって出発する,～にむかってしゅっぱつする,حرکت به سمت ,leave for
4,～に対して,～にたいして,برای ,"for , in the case of ~"
5,～の勘定,～のかんじょう,"صورتحساب ...
شمردن",
6,～の産地,～のさんち,منطقه تولید ...,
7,～の有無,～のうむ,وضعیت ,
8,～済んだ,～すんだ,... انجام شده,
9,～側,～がわ,سمت,side
10,～同士,～どうし,جمع بستن افراد,
11,０.２秒,ぜろてんにびょう,۲ دهم ثانیه,
12,1割,1わり,10%,
13,1日中,1にちちゅう,تمام روز,
14,１本,１ほん,یک لیوان,
15,２級,２きゅう,سطح ۲,
16,2次方程式,２じほうていしき,معادله درجه 2,
17,A分のB,AぶんのB,Aتقسیم بر B,
18,IT技術者,ITぎじゅつしゃ,مهندس فناوری اطلاعات,
19,IT系,ITけい,زمینه فناوری اطلاعات,
20,転置する,てんちする,جابجایی,transposing
21,"X,Y平面",X、Y へいめん,پلان,
22,曖昧,あいまい,مبهم,
23,アカントを追加,あかんとをついか,اضافه کردن حساب,
24,あき海老,あきえび,میگو آکی,
25,欠伸,あくび,خمیازه,
26,憧れる,あこがれる,تحسین کردن,
27,浅い,あさい,"کم عمق ، سطحی",
28,亜種,あしゅ,گونه ( حیوانات),
29,あだ名,あだな,اسم کوچک,nick name
30,あっという間,あっというま,در یک عان,
31,甘酸っぱい,あまずっぱい,ملس,
32,亜流,ありゅう,"مقلد ، تقلید کننده",emitator / epigone
33,アルカリ性,アルカリせい,قلیایی,
34,アルバイト募集中,あるばいとぼしゅうちゅう,جویای کار پاره وقت,
35,ある日,あるひ,تو اون روز,
36,泡,あわ,کف (صابون),
37,慌ただしい,あわただしい,کاری رو با بی قراری انجام بدی,
38,哀れだな,あわれだな,"رقت انگیز ، مایه تاسف",
39,安易,あんい,آسان,
40,意外,いがい,غیر منتظره,
41,いかにも,いかにも,واقعا,
42,イカ切り身,いかきりみ,فیله ماهی مرکب,
43,維持する,いじする,حفظ کردن,To maintain / To preserve
44,偉大,いだい,عالی,
45,いたずらっ子,いたずらっこ,بچه بدجنس,
46,一種,いっしゅ,یک نوع,
47,いやいや仕事をする,いやいやしごとをする,با اکراه کار کنید,
48,イラスト参照,イラストさんしょう,به تصویر مراجعه کنید,
49,イラスト制作,いらすとせいさく,تولید تصاویر گرافیکی,
50,インシデント対応,インシデントたいおう,پاسخ حادثه,
51,インターネット対応,インターネットたいおう,سازگار با اینترنت,
52,うつ伏せになる,うつぶせになる,به صورت بخواب,
53,奪う,うばう,"گرفتن ، ربودن ، غصب کردن",to rob / to snatch/ to take away
54,埋める,うめる,دفن شده,
55,裏,うら,پشت,
56,偉い,えらい,فوق العاده,
57,エリンギ茸,えりんぎたけ,قارچ ارینگی,
58,お（尾）,しっぽ,دمب,
59,応援団,おうえんだん,گروه تشویق,
60,おがち様です,おがちさまです,متشکرم,
61,惜しい,おしい,یکم دیگه میخواست فقط تا ...,
62,おせち料理,おせちりょうり,غذاهای سال نو,
63,劣る,おとる,"پایینتر ، زیری",
64,おもてなしの心,おもてなしのこころ,مهمان نواز,
65,お引き出し,おひきだし,برداشت از حساب,
66,お引き落とし,おひきおとし,برداشت از حساب,
67,お越しください,おこしください,لطفا بیایید,
68,お会いでき光栄です。,おあいできこうえいです。,دیدار با شما باعث افتخار است.,
69,お悔やみ申し上げます,おくやみもうしあげます,تسلیت من را پذیرا باشید,
70,お願い,おねがい,خواهشاً,
71,お客様,おきゃくさま,مشتری,
72,お金を収める,おかねをおさめる,جمع آوری پول,
73,お見合い結婚,おみあいけっこん,ازدواج ترتیب داده شده,
74,お見積書金,おみつもりしょきん,برآورد هزینه,
75,お言葉に甘える,おことばにあまえる,رو حرفت حساب می کنم,
76,お互いに,おたがいに,بایکدیگر,
77,お互いに助け合う,おたがいにたすけあう,کمک به هم,
78,お祭り,おまつり,جشنواره,
79,お辞儀,おじぎ,تعظیم کردن,
80,お邪魔しますか,おじゃましますか,اشکالی نداره,
81,お取り寄せになります,おとりよせになります,برگشت خوردن سفارش,
82,お手数,おてすう,با عرض پوزش برای ناراحتی,
83,お祝い,おいわい,جشن,
84,お祝い申し上げます,おいわいもうしあげます,تبریک می گویم!,
85,お巡りさん,おまわりさん,پلیس,
86,お尻,おしり,باسن,
87,お神輿,おみこし,حرم قابل حمل,
88,お正月,おしょうがつ,سال جدید,
89,お待たせしました。,おまたせしました。,ببخشید مجبورت کردم صبر کنی,
90,お待ちのお客様,おまちのおきゃくさま,مشتریان منتظر,
91,お待てさしました,おまてさしました,از انتظار شما متشکرم,
92,お大事に,おだいじに,زودتر خوب شو,
93,お知らせ,おしらせ,اطلاع,
94,お得です,おとく,ارزش خوب,
95,お得意様,おとくいさま,مشتری وفادار,
96,お年寄り,おとしより,مسن,
97,お年玉,おとしだま,هدیه سال نو,
98,お風呂,おふろ,وان ,
99,お米,おこめ,برنج,
100,外交団,がいこうだん,هیئت دیپلماتیک,
101,解放感,かいほうかん,احساس رهایی,
102,香り,かおり,بوی خوب,
103,かける,１０に２をかける,ضرب,
104,過剰な,かじょうな,بیش از حد,
105,ガス会社お湯,がすかいしゃおゆ,آب گرم شرکت گاز,
106,片道,かたみち,مسیر یکطرفه,
107,傾く,かたむく,"مایل شدن ، کج شدن",
108,活気,かっき,(مکان)با نشاط,
109,過保護,かほご,بیش از حد محافظت شده,
110,カラー写真添付欄,カラーしゃしんてんぷらん,ستون پیوست عکس رنگی,
111,空っぽな,からっぽな,خالی,
112,可愛らしい,かわいらしい,"بامزه ، دوست داشتنی",
113,勘定,かんじょう,حساب کردن,
114,看病,かんびょう,مراجعه به پزشک,
115,記憶,きおく,حافظه,
116,基準法,きじゅんほう,روش استاندارد,
117,記念日,きねんび,سالگرد,
118,キャベツの芯,キャベツのしん,هسته کلم,
119,ぎゅうぎゅう詰め,ぎゅうぎゅうつめる,فشرده,
120,急激な,きゅうげきな,ناگهانی,
121,求婚,きゅうこん,پیشنهاد ازدواج,
122,嫌われる,きらわれる,منفور,
123,キング牧師,きんぐぼくし,پادشاه محترم,
124,くすくす笑う,くすくすわらう,دستت جلودهنت بخندی,
125,ぐっすり眠る,ぐっすりねむる,راحت بخواب,
126,諄い,くどい,"ورّاج ، پرحرف ،تکرار کنه حرفاشو",
127,悔やむ,くやむ,"عزاداری ، پشیمانی ، افسوس خوردن",to regret / to repend
128,繰り返す,くりかえす,تکرار,
129,クリックで拡大。,くりっくでかくだい。,برای بزرگنمایی کلیک کنید.,
130,警告,けいこく,"تذکر ، هشدار",
131,劇場,げきじょう,تئاتر,
132,削る,けずる,تراشیدن,
133,血液,けつえき,گروه خونی,
134,結合,けつごう,"ترکیب ، اتصال ، پیوند",Combination / Bonding / Union
135,ゲラゲラ笑う,ゲラゲラわらう,با صدای بلند بخند,
136,見解,けんかい,نظر ,
137,厳重な,げんじゅうな,سخت گیری,
138,建築,けんちく,معماری,
139,懸命,けんめい,"جدی ، سخت کوش",
140,建立,けんりつ,"ایجاد شدن (معبد ، زیارتگاه)",
141,濃い,こい,غلیظ,
142,強引に,ごういんに,به اجبار,
143,高価,こうか,گرانقیمت,
144,香水,こうすい,عطر,
145,ご苦労様,ごくろうさま,خسته نباشید( به پایین دستی),
146,越す,こす,"عبور کردن ، نقل مکان کردن",to cross / to move
147,国境,こっきょう,مرز,
148,この間,このあいだ,در طول این زمان,
149,この辺に,このへんに,این دور وبر,
150,コピーを取る,コピーをとる,کپی گرفتن,make copies
151,コピー機,こぴーき,دستگاه کپی,
152,ゴビ砂漠,ごびさばく,صحرای گبی,
153,ゴミを出す,ゴミをだす,زباله رو بیرون بزار,
154,"これ賞味期限
ギリギリだな","これしょうみきげん
ぎりぎりだな",این نزدیک به تاریخ انقضا است,
155,こんなうちは嫌だ,こんなうちはいやだ,از این بار متنفرم,
156,"コンピューター
メンテナンス
作業","コンピューター
メンテナンス
さぎょう","کار تعمیر و 
نگهداری 
کامپیوتر",
157,混乱,こんらん,"سردرگمی ، گیج کننده",
158,ご遠慮,ごえんりょ,خودداری کردن,
159,ご希望の時間,ごきぼうのじかん,زمان مورد نظر,
160,ご紹介,ごしょうかい,معرفی,
161,ご清聴,ごせいちょう,لطفا با دقت گوش کنید,
162,ご都合,ごつごう,راحتی شما,
163,ご飯の蓋を外して,ごはんのふたをはずして,درب برنج را بردارید,
164,ご不在,ごふざい,غایب,
165,"ご無沙汰して
おります。",ごぶさたしております。,مدتی میشود.,
166,ご覧いただき,ごらんいただき,نگاهی بینداز,
167,ご利用,ごりよう,استفاده,
168,再三,さいさん,مکررا,
169,催促,さいそく,اصرار کردن به انجام سریع کاری,
170,サイバー攻撃,サイバーこうげき,حمله سایبری,
171,坂,さか,شیب,
172,遡る,さかのぼる,برگشتن به (زمانی),
173,サラダ油,サラダあぶら,روغن سالاد,
174,騒がしい,さわがしい,"پر سرو صدا ، معذب کننده",
175,仕上がる,しあがる,کار رو تمام کردن,
176,司会,しかい,میزبانی,
177,司会者,しかいしゃ,سخنران,
179,沈む,しずむ,غرق شدن,
180,じっと見る,じっとみる,بطور واضح ببین,
181,シッフ薬,シッフくすり,داروی چسبوندنی,
182,市民会館,しみんかいかん,تالار شهر,
183,シャボン玉,しゃぼんたま,حباب صابون,
184,重役,じゅうやく,نقش مهم در جایی ,
185,終了,しゅうりょう,تقریبا تمومه,
186,宿泊費,しゅくはくひ,هزینه اقامت,
187,出席者,しゅっせきしゃ,شرکت کننده,
188,順調な,じゅんちょうな,مطلوب,
189,順調に,じゅんちょうに,در مسیر,
190,紹介,しょうかい,معرفی,
191,消防車,しょうぼうしゃ,آتش نشانی,
192,初級者,しょきゅうしゃ,مبتدی,
193,署名活動,しょめいかつどう,فعالیت جمع اوری امضا,
194,女優,じょゆう,بازیگر,
195,人種,じんしゅ,نژاد,
196,新鮮な,しんせんな,تازه,
197,人類,じんるい,بشریت,
198,スイッチを入れる,スイッチをいれる,روشن کردن,turn on
199,ずいぶん古い,ずいぶんふるい,خیلی قدیمی,
200,睡眠,すいみん,"خواب ، استراحت",
201,ずっと高い,ずっとたかい,خیلی گرونتر,
202,素敵な,すてきな,عالی,
203,スパ銭湯,すぱせんとう,حمام عمومی آبگرم,
204,すり会う,すりあう,کنار آمدن با کسی,
205,刷る,する,چاپ,
206,ずる賢い,ずるかしこい,حیله گر,
207,すれ違う,すれちがう,از کنار هم می گذرند,walked by someone
208,す切り,すきり,تکه تکه کردن,
209,請求,せいきゅう,ادعا,
210,贅沢な,ぜいたくな,لوکس ,
211,責任感,せきにんかん,احساس مسئولیت,
212,せっかちな性格,せっかちなせいかく,شخصیت بی حوصله,
213,接触,せっしょく,"تماس ، برخورد",contact / touch
214,迫る,せまる,"نزدیک شدن ، فشار آوردن",to press /to approach
215,総入口,そういりぐち,کل ورودی ها,
216,倉庫,そうこ,انبار,
217,総人口,そうじんこう,کل جمعیت,
218,粗末な,そまつな,"فقیر ، تهی دست",
219,空（車）,あき,خالی,
220,耕す,たがやす,شخم زدن,
221,宝物,たからもの,گنج,
222,立ち止まる,たちどまる,"ایستادن ، توقف کردن",To stop / To stand still
223,たった今,たったいま,همین الان,
224,妥当な,だとうな,"منطقی ، معقولانه",
225,種,たね,دانه,
226,溜息,ためいき,آه,
227,単純な,たんじゅんな,ساده,
228,タンパク質,たんぱくしつ,پروتئین,
229,たんぱく質,たんぱくしつ,پروتئین,
230,チェック表,ちぇっくひょう,چک لیست,
231,近づける,ちかづける,نزدیکتر کردن,
232,縮れる,ちぢれる,فر خوردن,
233,チップを払う,ちっぷをはらう,انعام بدهید,
234,ちなみに幾らですか,ちなみにいくらですか?,در ضمن قیمتش چنده؟,
235,チャイムが鳴る,ちゃいむがなる,صدای زنگ,
236,注意報,ちゅういほう,هشدارها,
237,中心,ちゅうちん,مرکزی,
238,貯金,ちょきん,پس انداز,
239,続く,つづく,ادامه دادن,
240,包まれる,つつまれる,بسته بندی کردن,
241,妻,つま,همسر,
242,強気な,つよきな,"سرسخت ، قوی اراده",Confident / Aggressive
243,丁寧な,ていねいな,مودبانه,
244,手間がかかる,てまがかかる,تلاش بیشتری میخواد,
245,出迎える,でむかえる,برای استقبال رفتن,
246,テレビ制御,テレビせいぎょ,کنترل تلویزیون,
247,テレビ白いケーブル,てれびしろいけーぶる,کابل سفید تلویزیون,
248,塔,とう,برج,
249,答案,とうあん,پاسخ,
250,独身,どくしん,مجرد,
251,独立,どくりつ,مستقل,
252,伴う,ともなう,همراهی کردن,
253,取り去る,とりさる,"برداشتن ، حذف کردن",to take away / to remove
254,とろみを付ける,とろみをつける,غلیظ کننده رو اضافه کردن,
255,〜と呼びかける,〜とよびかける,صدا کردن کسی,
256,仲良し,なかよし,رفیق,
257,情けない,なさけない,"رقت انگیز ، تاسف بار، شرم آور",Miserable / Shameful / Pathetic
258,撫で,なで,نوازش,
259,ニキビ跡,ニキビあと,جای جوش,
260,憎い,にくい,نفرت انگیز,
261,憎む,にくむ,"تنفر ، نفرت ",
262,憎らしい,にくらしい,چرت و پرت,
263,猫の毛,ねこのけ,موی گربه,
264,値引き,ねびき,تخفیف قیمتی,
265,能率,のうりつ,"بهره وری ، کارآمدی",
266,呪い,のろい,"کند ، آرام (-)",
267,の向こう,のむこう,اونطرف ...,
268,バイク応相談,"バイク
おうそうだん",موتور قابل مذاکره,
269,俳優,はいゆう,بازیگر,actor
270,"ハウスダスト 
かゆみ 皮ふ炎に","はうすだすと
かゆみひふえんに","برای گرد و غبار خانه،
 خارش و التهاب پوست",
271,パセリみじん切り,ぱせりみじんぎり,جعفری خرد شده,
272,パソコン版,ぱそこんばん,نسخه PC,
273,畑,はた,"مزرعه ، زمینه",
274,早口な,はやくちな,سریع صحبت کننده,
275,ばらし作業,ばらしさぎょう,کار جداسازی _ تکه تکه کردن,
276,バラす,ばらす,"فاش کرد(راز
جدا کردن (تخت از هم",
277,バラバラ笑う,ばらばらわらう,با صدای بلند بخندی,
278,ハンディー掃除機,はんでぃーそうじき,جارو برقی دستی,
279,ピアノの演奏,ぴあののえんそう,نواختن پیانو,
280,日帰り,ひかえり,سفر یک روزه,
281,悲劇,ひげき,غم انگیز,
282,ひげを剃る,ひげをそる,ریش را بتراش,
283,ひじき煮,ひじきに,جلبک دریایی,
284,ビジネス英語Ⅰ,ビジネスえいご１,زبان انگلیسی در تجارت 1,
285,ビジネス英語Ⅱ,ビジネスえいご２,زبان انگلیسی در تجارت 2,
286,びじょ濡れ,びじょぬれ,خیلی خیس شدن,
287,独り,ひとり,خودم,
288,響き渡す,ひびきわたす,طنین انداز,
289,美容院,びよういん,سالن زیبایی,
290,風船,ふうせん,بادکنک,
291,吹き,ふき,"دمیدن ، وزیدن",
292,膨らむ,ふくらむ,"متورم شدن ، باد کردن",
293,不幸,ふこう,بدبختی,
294,塞がる,ふさがる,مسدود شدن,
295,武士,ぶし,سامورایی,
296,夫人,ふじん,"بانو ، خانم ، همسر",lady / wife/madam
297,物価,ぶっか,خرج و مخارج,
298,フライパン大,フライパンだい,ماهیتابه بزرگ,
299,プランを立てる,プランをたてる,طرح دادن,
300,ブルーな気分,ブルーなきぶん,"احساس افسردگی ، ناراحتی","feeling blue,feeling down"
301,振るえる,ふるえる,پاشیدن,
302,プログラミング,プログラミング,برنامه نویسی,
303,文脈,ぶんみゃく,چهارچوب,
304,へとへとに疲れる,へとへとにつかれる,موردم از خستگی,
305,弁当代,べんとうだい,هزینه پرس غذا,
306,冒険,ぼうけん,ماجراجویی,
307,豊富な,ほうふな,"غنی ، فراوان",
308,放り込む,ほうりこむ,پرتاب به داخل,
309,ボケ防止,ボケぼうし,پیشگیری از زوال عقل,prevention of cognitive decline
310,保存する,ほぞんする,ذخیره کردن,
311,ほっぺたを膨らむ,ほっぺたをふくらむ,لپتو باد کن,
312,ボロボロ崩れ,ボロボロとくずれ,تکه تکه شدن,
313,膜,まく,کاشتن,
314,混ざる,まざる,مخلوط,
315,混じる,まじる,مختلط,
316,貧しい,まずしい,فقیر,
317,街角,まちかど,نبش خیابان,
318,真っ先に,まっさきに,اولین چیز,
319,まつ毛,まつげ,مژه,
320,まとまったお金,まとまったおかね,پول کافی,
321,マナー違反,まなーいはん,نقض آداب,
322,﻿まな板,まないた,تخته برش,
323,招かれる,まねかれる,دعوت کردن,
324,見下ろす,みおろす,نگاه از بالا به پایین,
325,惨めな,みじめな,بدبختی,
326,見っともない,みっともない,"شرم آور ، نامناسب",
327,みっともない行動,みっともないこうどう,رفتار ناشایست,
328,醜い,みにくい,زشت,
329,見舞う,みまう,ابراز همدردی,
330,魅力的な,みりょくてきな,جذاب,"charm,appeal"
331,群れ,むれ,"گله ، دسته (حیوانات)",
332,名台詞,めいぜりふ,دیالوگ معروف,
333,名役者,めいやくしゃ,نقش معروف,
334,眩暈,めまい,سرگیجه,
335,もう一度,もういちど,یکبار دیگه,
336,持ち続ける,もちつづける,دست نگه داشتن,
337,勿体ない,もったいない,شرم آور,
338,物語,ものがたり,داستان,
339,喧しい,やかましい,پر سرو صدا,
340,やる気,やるき,"انگیزه ، میل به انجام","motivation,enthusiasm"
341,豊,ゆたか,"غنی ، فراوان",
342,ゆっくり息を吐く。,ゆっくりいきをはく。,به آرامی بازدم کنید.,
343,緩い,ゆるい,"شل و ول ، گشاد ، راحت(کار)",
344,よいお年を,よいおとしを,سال نو مبارک,
345,用心する,ようじんする,احتیاط کردن,
346,よくある質問,よくあるしつもん,سوالات متداول,
347,欲張りな,よくばりな,حریص,
348,横切る,よこぎる,از عرض گذر کردن,
349,余裕,よゆう,وقت یا فضای اضافی,
350,より良い,よりよい,بهتر,
351,リサイクル運動,リサイクルうんどう,جنبش بازیافت زباله,
352,ループ処理,ループしょり,فرآیند حلقه,
353,歴史上の人物,れきしうえのじんぶつ,شخصیت تاریخی بزرگ,
354,レンタル費用,れんたるひよう,هزینه اجاره,
355,録画,ろくが,ضبط ویدیو,
356,ロケットを撃ち上げました,ろけっとをうちあげました,یک موشک پرتاب کرد,
357,わがままな人,わがままなひと,فرد خودخواه,
358,若々しく,わかわかしく,جوان دیده میشه,
359,ワクチン接種,ワクチンせっしゅ,واکسیناسیون,vaccination
360,亜熱帯,あねったい,نیمه گرمسیری,subtropical zone
361,亜熱帯気候,あねったいきこう,آب و هوای نیمه گرمسیری,
362,阿佐ヶ谷,あさがや,آسگایا,
363,愛,あい,عشق,
364,愛し,あいし,عاشق شدن,
365,愛する,あいする,عشق ورزیدن,love
366,愛称,あいしょう,نام مستعار,nick name
367,愛情,あいじょう,تاثیر عشق,effection
368,挨拶,あいさつ,احوالپرسی,
369,挨拶に,あいさつに,برای احوالپرسی,
370,悪い,わるい,بد,
371,悪いけど,わるいけど,متاسفم,
